slang,formal
woww,wow
aminn,amin
met,selamat
netaas,menetas
keberpa,keberapa
eeeehhhh,eh
kata2nyaaa,kata-katanya
hallo,halo
kaka,kakak
ka,kak
daah,dah
aaaaahhhh,ah
yaa,ya
smga,semoga
slalu,selalu
amiin,amin
kk,kakak
trus,terus
kk,kakak
sii,sih
nyenengin,menyenangkan
bgt,sekali
gemess,gemas
akuuu,aku
jgn,jangan
yaa,ya
udah,sudah
gitu,begitu
aja,saja
gemesiin,menggemaskan
menyenangkn,menyenangkan
rb,ribu
akau,aku
saranin,menyarankan
nemuin,menemukan
yah,ya
met,selamat
mnis2nya,manis-manisnya
gtu,begitu
tu,itu
idolaa,idola
bangett,sekali
kaakk,kak
baaiikkk,baik
telaatt,telat
kaak,kak
yg,yang
lg,lagi
skarang,sekarang
yg,yang
sempet,sempat
karna,karena
ngga,tidak
karna,karena
mantep,mantap
loohhh,loh
yeee,ya
baguuuuus,bagus
sampe,sampai
ngikutin,mengikuti
gayany,gayanya
ngikutin,mengikuti
lg,lagi
bnk,bang
awaas,awas
siip,sip
abizzzz,habis
kerrrrennnn,keren
sayaa,saya
pengen,ingin
kpan,kapan
bgt,sekali
sma,sama
sdkit,sedikit
bngt,sekali
lgu,lagu
bener2,benar-benar
kharismanya,karismanya
aq,aku
yg,yang
jdi,jadi
lgi,lagi
gk,tidak
kek,seperti
lgunya,lagunya
kpan,kapan
kereeeeennnn,keren
nyamain,menyamakan
slalu,selalu
lakik,laki
siippp,sip
bkn,bukan
nyangka,menyangka
bangettt,sekali
kereeen,keren
wihhhhhh,wih
tp,tetapi
inget,ingat
bingitsss,sekali
dmn,dimana
bird,biru
kaloo,kalau
gimna,bagaimana
tuuh,tuh
nyebur,mencebur
yng,yang
dbuat,dibuat
kn,kan
org,orang
pingin,ingin
bgt,sekali
tu,itu
bangcat,bangsat
yha,ya
waoohhh,wah
pngn,ingin
tmpt,tempat
dhe,deh
indahhh,indah
bgttt,sekali
tuhh,tuh
berarto,berarti
ga,tidak
aminn,amin
aamiin,amin
amiiinn,amin
dgn,dengan
aminnnn2,amin-amin
amiin,amin
aamiin,amin
amiiiin,amin
amiin,amin
aminnn,amin
amiend,amin
yaaa,ya
ameen,amin
aminnnn,amin
amiiinnn,amin
kek,seperti
ngomong,mengomong
inget,ingat
mamer,memamerkan
keles,kali
jelase,jelas
liat,lihat
uwakk,uwak
ntar,sebentar
bs,bisa
gini,begini
jgn,jangan
sampe,sampai
aq,aku
salfok,salah fokus
njir,anjir
piiink,pink
astgfrullah,astagfirullah
ko,kok
cd,celana dalam
gbs,tidak bisa
bhs,bahasa
yaaaaaa,ya
gak,tidak
bangshad,bangsat
yaa,ya
stagahhhh,astaga
kpn,kapan
iooo,lo
dy,dia
d,ada
mslh,masalah
qt,kita
jdi,jadi
plampiasannn,pelampiasan
masalahh,masalah
tohh,toh
inghinn,ingin
dhi,di
mengherthii,mengerti
yanckh,yang
chelalyyu,selalu
therchakitty,tersakiti
mauuuuu,mau
kaliii,kali
bangat,sekali
bkin,bikin
dongg,dong
yokkk,ayo
gini,begini
yu,ayo
sweger,segar
kereeen,keren
gantengg,ganteng
bingiit,sekali
gak,tidak
kebukaaa,terbuka
tpi,tetapi
keliatan,kelihatan
yakk,ya
sepertik,seperti
asliii,asli
kyk,seperti
cntiknya,cantiknya
bat,sekali
ga,tidak
ngeliatnya,melihatnya
sll,selalu
bet,sekali
njerr,anjir
bingiiittttzzzz,sekali
bgt,sekali
k,kak
klo,kalau
lg,lagi
dooong,dong
masi,masih
gni,begini
kek,seperti
gini,begini
aja,saja
udah,sudah
hdk,hendak
yg,yang
jugaa,juga
mksud,maksud
aj,saja
tetep,tetap
tp,tetapi
mbakx,mbaknya
syantik,cantik
syantik,cantik
kite,kita
pa,apa
mksd,maksud
bejilbbnya,berjilbabnya
masio,masih
yahhh,ya
makasih,terima kasih
leh,boleh
ugaaa,juga
yah,ya
jerewi,jerawat
ilang,hilang
jilbabnyaah,jilbabnya
kek,seperti
yuuuk,ayo
warnaaa,warna
punyaaa,punya
cantiik,cantik
sukaaak,suka
kebayanyaa,kebayanya
mantes,memantas
merekaaaa,mereka
jugaaa,juga
gilaaaa,gila
tiga2nya,tiga-tiganya
lucuu,lucu
emessss,gemas
ucullllll,lucu
jdi,jadi
males,malas
bangeettt,sekali
gemesshh,gemas
ngomong,mengomong
apaaa,apa
ampuunn,ampun
pengen,ingin
ciuuuummmm,cium
mbil,sambil
ngmng,mengomong
ngemeng,mengomong
epe,apa
seehh,sih
yank,sayang
ucul,lucu
yahh,ya
kek,seperti
gw,gue
lucuu,lucu
ngakak,mengakak
astagfirrullah,astagfirullah
bkn,bukan
tpi,tetapi
suerrr,suer
gk,tidak
mnta,minta
lg,lagi
syg,sayang
ntik,cantik
pny,punya
dapet,dapat
kek,seperti
gini,begini
suru,suruh
lucuuuu,lucu
ketawakkkk,ketawa
kyanya,kayanya
bnget,sekali
nakutin,menakutkan
malingg,maling
cocokk,cocok
niihh,nih
imutttttt,imut
satuuuuu,satu
sesekk,sesak
nafass,nafas
bgtt,sekali
cintaaaaaaa,cinta
lucuk,lucu
lucuk,lucu
ma,sama
duluu,dahulu
megang,memegang
ngakak,mengakak
kawinin,mengawini
liatin,memperlihatkan
ny,nya
d,di
bdan,badan
nyaaa,nya
gemesin,menggemaskan
daah,dah
fotoin,memfoto
ngaku,mengaku
kaaa,kak
ganteng2,ganteng-ganteng
pcarny,pacarnya
kri,kiri
knpa,kenapa
pda,pada
cmn,cuman
gara2,gara-gara
garuk2,garuk-garuk
tembokk,tembok
namax,namanya
kiriii,kiri
kyk,seperti
bungkusin,bungkuskan
atu,satu
dehhhh,deh
dongg,dong
kakk,kak
ngegantiin,menggantikan
alloh,allah
smpe,sampai
msh,masih
trsa,terasa
khadirannya,kehadirannya
fikiran,pikiran
hayalanku,khayalanku
bru,baru
nton,menonton
jdi,jadi
ngapain,mengapai
yaa,ya
surgaa,surga
kangenn,kangen
kgn,kangen
kakkkkk,kak
rinduuuuuuuuu,rindu
ninggalin,meninggalkan
smg,semoga
terangkhn,terangkan
bgtttt,sekali
knp,kenapa
tuk,untuk
slama,selama
orng,orang
bngunlah,bangunlah
k,kak
bngun,bangun
ea,ya
qu,ku
hiri,hari
klo,kalau
"teman""ny,teman-temannya"
gtu,begitu
aza,saja
dr,dari
"teman""ny,teman-temannya"
ny,nya
alm,almarhum
skrg,sekarang
knpa,kenapa
sie,sih
benet,benar
bangetttt,sekali
tuu,tuh
skrang,sekarang
gda,tidak ada
trus,terus
gantiin,menggantikan
sma,sama
jdi,jadi
gak,tidak
kta,kata
kklau,kalau
d,di
acra,acara
gk,tidak
sma,sama
kasian,kasihan
bangett,sekali
yaaa,ya
bnerr,benar
emk,emak
temenn,teman
pngenn,ingin
terkenall,terkenal
ajhh,saja
gk,tidak
sungguh2,sungguh-sungguh
mnjadi,menjadi
shbt,sahabat
k,kak
bner,benar
bgt,sekali
ktny,katanya
shbt,sahabat
skrg,sekarang
pda,pada
dimusiumin,dimuseumkan
ga,tidak
bntu,bantu
pda,pada
dlu,dahulu
klo,kalau
gda,tidak ada
pda,pada
udh,sudah
pda,pada
kangem,kangen
amiiin,amin
smua,semua
slmt,selamat
jln,jalan
"mudh""an,mudah-mudahan"
tenny,tenang
d,di
sdh,sudah
yg,yang
tnya,tanya
blm,belum
td,tadi
sblm,sebelum
yah,ya
bole,boleh
lahhh,lah
tp,tetapi
blm,belum
dapet,dapat
maap,maaf
gk,tidak
cm,cuma
syg,sayang
kmrn,kemarin
wkt,waktu
d,di
ama,sama
ak,aku
lht,lihat
biasa2,biasa-biasa
mnrtkuu,menurutku
trs,terus
ikutin,mengikuti
jdwl,jadwal
yaaa,ya
jgn,jangan
wajiiib,wajib
aaaammmiiiinnnn,amin
dtnggu,ditunggu
yah,ya
jan,jangan
kunjungin,kunjungi
lagiiii,lagi
waktunyaaa,waktunya
diluangin,diluangkan
yaa,ya
